연번,검사년도,검사월,수도사업자,정수장명,수원종류,수질검사기관,일반세균,총대장균군,납,불소,비소,셀레늄,수은,시안,크롬,암모니아성질소,질산성질소,카드뮴,페놀,총트리할로메탄,다이아지논,파라티온,1_2-디브로모-3-클로로프로판,페니트로티온,카바릴,1_1_1-트리클로로에탄,테트라클로로에틸렌,트리클로로에틸렌,디클로로메탄,벤젠,톨루엔,에틸벤젠,크실렌,1_1-디클로로에틸렌,사염화탄소,경도,과망간산칼륨소비량,냄새,맛,동,색도,세제,수소이온농도,아연,염소이온,증발잔류물,철,망간,탁도,황산이온,알루미늄,잔류염소,붕소,클로로포름,대장균-분원성대장균군,클로랄하이드레이트,디브로모아세토니트릴,디클로로아세토니트릴,트리클로로아세토니트릴,할로아세틱에시드,브로모디클로로메탄,디브로모클로로메탄,1_4-다이옥산,포름알데히드,브롬산염,우라늄
1,2019,1,서울특별시,강북,하천수,자체수질검사,0,불검출,0,0,0,0,0,0,0,0,2.2,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0.9,적합,적합,0,0,0,7.3,0,21,120,0,0,0.05,13,0,0.43,0.01,0.005,불검출,0.0008,0,0,0,0.003,0.003,0,0,0,0,
2,2019,1,서울특별시,광암,하천수,자체수질검사,0,불검출,0,0,0,0,0,0,0,0,2.1,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0.9,적합,적합,0,0,0,7.1,0.002,21.3,112,0,0,0.05,12,0,0.29,0.01,0.005,불검출,0.0009,0,0,0,0.004,0.003,0.001,0,0,0,
3,2019,1,서울특별시,구의,하천수,자체수질검사,0,불검출,0,0,0,0,0,0,0,0,2.3,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0.8,적합,적합,0,0,0,7.2,0,25,132,0,0,0.05,14,0,0.32,0.01,0.008,불검출,0.0008,0,0,0,0.006,0.004,0,0,0,0,
4,2019,1,서울특별시,뚝도,하천수,자체수질검사,0,불검출,0,0,0,0,0,0,0,0,2.3,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0.5,적합,적합,0,0,0,7.2,0,25.7,139,0,0,0.05,14,0,0.37,0.01,0.008,불검출,0.0005,0,0,0,0.003,0.004,0,0,0,0,
5,2019,1,서울특별시,암사,하천수,자체수질검사,0,불검출,0,0,0,0,0,0,0,0,2.3,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0.8,적합,적합,0,0,0,7.1,0.004,27.8,136,0,0,0.05,14,0,0.4,0.02,0.006,불검출,0.0007,0,0.0005,0,0.005,0.004,0.001,0,0,0,
6,2019,1,서울특별시,영등포,하천수,자체수질검사,0,불검출,0,0,0,0,0,0,0,0,2.4,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0.7,적합,적합,0,0,0,7.2,0,26.6,140,0,0,0.05,14,0,0.38,0.01,0.005,불검출,0.0015,0,0.0008,0,0.005,0.003,0.001,0,0,0,
7,2019,1,부산광역시,덕산,하천수,부산시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,2.8,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,1.1,적합,적합,0,0,0,7.2,0,54.3,321,0,0,0.11,71,0,0.69,0.06,0.01,불검출,0.0007,0,0,0,0.008,0.012,0.005,0.001,0,0,
8,2019,1,부산광역시,명장,호소수,부산시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,1.3,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1.3,적합,적합,0,0,0,6.7,0,11.9,117,0,0,0.09,24,0,0.5,0.01,0.005,불검출,0,0,0,0,0,0.003,0,0,0,0,
9,2019,1,부산광역시,범어사,호소수,부산시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,0.5,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2.1,적합,적합,0,0,0,7.2,0,11.6,51,0,0,0.35,3,0.06,0.38,0,0.014,불검출,0.0009,0,0.0005,0,0.004,0.004,0,0,0,0,
10,2019,1,부산광역시,화명,하천수,부산시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,2.8,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,1.8,적합,적합,0,0,0,7.2,0.005,56.1,320,0,0,0.09,69,0,0.65,0.06,0.006,불검출,0.0014,0.0007,0,0,0.004,0.008,0.004,0.001,0,0,
11,2019,1,인천광역시,강화,지하수,인천시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,2.3,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,2.4,적합,적합,0,0,0,7.4,0.004,24.6,138,0,0,0.07,16,0,0.61,0.01,0.006,불검출,0.0053,0,0.0022,0,0.016,0.006,0,0,0,0.0012,0
12,2019,1,인천광역시,공촌,하천수,인천시-상수도사업본부,0,불검출,0,0,0,0,0,0,0,0,2.2,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,2.1,적합,적합,0,0,0,7.4,0,24.3,141,0,0,0.06,17,0.02,0.87,0.01,0.003,불검출,0.0007,0,0.0008,0,0.01,0.003,0,0,0,0.0011,
